Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
FROM: Luis Villa SUBJECT: Re: Its a small world EMAIL: On Thu 2002-08-15 at 16:38 Jesse wrote: > Strata just walked up to me in a cafe in Somerville MA and > asked me how I was getting net here. And _then_ we figured out > that we have shared context. The obvious followup is theres a cafe in somerville with net access Luis 19 Pitman St. http://xent.com/mailman/listinfo/fork,Legit,False,Low,['shared context'],"[""Verify sender's identity"", 'Research the legitimacy of the email content']","The email appears to be a harmless, anecdotal message about a personal experience, rather than a phishing attempt."
"SUBJECT: Re: opensuse ext3 check forced frustration EMAIL: On Sat February 16 2008 13:38:11 Carlos E. R. wrote: > > It is bad enough that we dont get any decent feedback in the > > splash screen https://bugzilla.novell.com/show_bug.cgiid344271 > > which I can imagine is unsettling to many new users who will > > have no clue about what is happening. >... > What could be reported as a bug is the no feedback situation with the > splash screen. I always disable the splash screen and boot in verbose > mode. Its reported already as I pointed out in the link above. Go there and vote for it as I did. > Perhaps a method could be devised to warn in advance that a disk > check is getting near and then do it at your convenience. Or when > the time comes to have the possibility of saying ""tomorrow please"". I like that. Instead of just telling the user ""you are out of luck today - this time the boot process will take a long while"" you could ask ""it is time to check your file system this process may take a while do you want to do it now"" We should add this to the enhancement suggestion in https://bugzilla.novell.com/show_bug.cgiid344271 . -- Carlos FL ""It is not worth an intelligent mans time to be in the majority. By definition there are already enough people to do that."" - G. H. Hardy",Legit,False,Low,['Link to Novell Bugzilla'],"[""Verify sender's email address"", 'Be cautious of unsolicited feedback requests']","This email is a legitimate discussion about a bug report in Novell Bugzilla, using a personal tone and referencing a specific bug ID."
SUBJECT: website : data _ research _ pub EMAIL: please approve or reject this request . thank you information risk management et - - - - - - - - - - - - - - - - - - - - - - forwarded by information risk management / hou / ect on 04 / 28 / 2000 09 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - security resource request system directory line item pending access processing directory name : website : data _ research _ pub service type : grant expiration date : comments : this is an urgent request . please process asap . security processing processing status : e - mail message : comments / justification : 04 / 28 / 00 emailed vince kaminski for approval general information request : kgme - 4 jlej 2 requested by : kevin g moore / hou / ect phone : 713 / 853 - 4710 requested for : jose marquez employee type : company : 100038 rc : 0011 priority : high comments / justification : he needs access to the y drive editing history only the last five 5 are shown edit past authors edit dates 1 2 information risk management information risk management 04 / 28 / 2000 09 : 32 : 58 am 04 / 28 / 2000 09 : 33 : 46 am,Legit,False,Low,"['Urgent', 'Request for Approval']","[""Verify the sender's email address and contact them directly if necessary."", 'Check the company directory to confirm the request is legitimate.']","The email appears to be a legitimate internal request, but the tone of 'urgent' and lack of specific details raise concerns."
SUBJECT: references needed : computer - mediated discourse EMAIL: i ve been asked to write a chapter for a handbook of discourse analysis edited by deborah tannen deborah schiffrin and heidi hamilton to be published by blackwell publishers on the topic of computer-mediated discourse . in the interests of making the chapter as up-to - date and comprehensive as possible i d like to hear from you if you or anyone you know had published in this area so that i can mention your work in the chapter if it s appropriate . i m looking for references brief descriptions would also be helpful to published work or work accepted for publication that analyzes some form of computer-mediated communication from a linguistic or ethnographic perspective with a focus on language or language use . i d especially be interested in hearing from researchers i do nt know or with whom i ve never corresponded before who publish in this area . i ve compiled a list of about 80 references if i know you chances are good i may already have included some of your work . my deadline for completing the chapter is august 31 so i would need to hear from you before then in order to be able to incorporate mention of your work . feel free to redistribute this message to anyone you think might be interested . thanks in advance for your help susan herring susan herring associate professor program in linguistics university of texas arlington tx 76019 usa susan @ utafll . uta . edu fax 817-272 - 2731 tel 817-272 - 3133,Legit,False,Low,[' Urgency ( deadline for completing the chapter )'],"[""Verify sender's credentials and contact information before responding."", 'Research the university and its department to confirm its legitimacy.']","The email lacks a clear indication of being unsolicited, and the language is formal and academic. The request seems legitimate but with an added layer of social engineering by creating a sense of urgency."
"SUBJECT: re : real options EMAIL: paul krishna and i are thinking that you may be able to book this type of option as a call swaption on power . if you would like to discuss further let s set up a time when we can call you . - - stinson - - - - - - - - - - - - - - - - - - - - - - forwarded by stinson gibner / hou / ect on 04 / 04 / 2001 04 : 27 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - vince j kaminski 04 / 02 / 2001 08 : 16 am to : paul smith / enron _ development @ enron _ development cc : stinson gibner / hou / ect @ ect vince j kaminski / hou / ect @ ect paul quilkey / enron _ development @ enron _ development raymond yeow / enron _ development @ enron _ development subject : re : real options paul we have done a lot of work in this area . i shall call you later today monday my time tuesday morning your time with some recommendations . vince p . s . shirley please send a real options binder to paul . vince from : paul smith @ enron _ development on 03 / 30 / 2001 08 : 42 am zel 0 to : vince j kaminski @ ect cc : paul quilkey / enron _ development @ enron _ development raymond yeow / enron _ development @ enron _ development subject : real options vince the sydney office is currently evaluating a proposal that involves an option to participate in building a wind farm . should this proceed we would like to mark this option "" to market "" . have the research group completed any work on methods for booking and remarking real options alternatively do you have any suggestions as to the best way to value and book real options fairly regards paul smith",Legit,False,Low,"['Call swaption', 'Real options']","['Do not respond to the email or click on any links', ""Verify the sender's identity and contact Enron Development directly""]","The email appears to be a legitimate message from an employee of Enron, but it contains suspiciously generic language and asks for actions that could compromise security."
"FROM: ""Gregory Alan Bolcer"" SUBJECT: Home Pages for Computer Scientists EMAIL: I was doing a search on some research papers on computer science and ran across one of the most useful examples of public vertical search portals. http://hpsearch.uni-trier.de/hp/ Its the home pages of 62179 computer scientists. Mostly broken but 50/50 on better title hits than DBLP. One thing thats interesting is that for Googles ""Similar Pages"" only one homepage which returns the FoRK Archive is the page below1 Is he on FoRK. Other similar pages include printer toner home mortgages and one for the origins of the prime radiant2 which I found out is an Asmiov concept. The concept of a prime radiant is that there is a single interconnected FoRKlist that ties a large number of decentralized individuals throughout the world whos collective wisdom is a good model for predicint the future. Greg 1 http://www.eecs.umich.edu/jfm/roberto.html 2 http://www.prime-radiant.com/primeorigins.html Greg -- Gregory Alan Bolcer CTO work: 1.949.833.2800 gbolcer at endeavors.com Endeavors Technology Inc. cell: 1.714.928.5476 http://endeavors.com http://xent.com/mailman/listinfo/fork",Legit,False,Low,"['public vertical search portals', 'Decentralized individuals']","[""Verify sender's company and contact information"", 'Research company before responding to the email']",Legitimate email from a well-known academic institution with some suspicious but unclear social engineering elements.
"FROM: ""Russell Turpin"" SUBJECT: Re: The Curse of Indias Socialism EMAIL: Owen Byrne: >The factbook calls it ""welfare capitalism"" - dont really care if its >socialism or capitalism it still seems like an alternative to North >American capitalism. Its not so much an alternative as it is a small variant of the USs own welfare capitalism. In these matters were like brothers who think our differences great not seeing that we are like peas in a pod until we compare ourselves to strangers from other cultures and lands. Of course yes it does make a difference to the unemployed whether they are collecting benefits in Texas or New York. _________________________________________________________________ Send and receive Hotmail on your mobile device: http://mobile.msn.com http://xent.com/mailman/listinfo/fork",Legit,True,High,"['Alternative to North American capitalism', 'Small variant of the USs own welfare capitalism']","['Do not click on any links', ""Verify sender's authenticity""]","Contains suspicious social engineering elements, including an unsolicited opinion on economics and a link to a third-party website"
SUBJECT: credit exposure model EMAIL: bill attached are the spreadsheet for the credit exposure model and the xll file . we have performed some tests and the numbers looked reasonable . however more extensive testing using realistic data is needed . we would like to pass the model to you so you can have someone check it more extensively and compare the model with what you are using . also please kindly inform me of any suggestions to improve the model as well as any problems you may find . i can be reached at 31631 . best alex,Legit,False,Low,"['Attachment request', 'Request for feedback']","[""Verify sender's identity"", 'Be cautious with attachments from unknown senders']","Legitimate email, but potential social engineering attempt."
SUBJECT: power plant model EMAIL: jeff a few comments on the model : 1 . we have a few reservations about some features of the model but would like to discuss it internally and make the improvements without giving the benefit of our insights to the consultant . in general the model is not unreasonable but the devil is always in the details and in the inputs and calibration . the same model may produce drastically different results depending on the quality of inputs . 2 . we don t have a separate pool of programmers in the research group . we were told that you would provide an it resource . alex would supervise this person . vince,Legit,False,Low,"['comments on the model', 'internal discussion']","[""Verify sender's identity"", 'Check if consulting agreement exists']",Email appears to be a genuine company communication from an employee regarding feedback on a model.
SUBJECT: fw : eletrobolt EMAIL: - - - - - original message - - - - - from : wiggs brett sent : sunday october 28 2001 8 : 17 am to : lavorato john cc : gonzalez orlando dutt ranabir joseph m deffner @ ect subject : re : eletrobolt john : we still do not have a deal with the government . they have delayed giving us a written proposal over the last two weeks . the latest is that they have said that they will give us something on tuesday of next week . with respect to the burn rate we are projecting about 20 million in expenditures over the next month . our current investment is about 220 million . i think you should also have a rough idea of how we are funding this and what the plan is over the next couple of months . the investment is currently funded through an off - balance sheet / on - credit vehicle with westlb . the westlb vehicle is structured to fund the plant through commercial operations . the plan is to have the opic financing in place to take out the westlb vehicle . this would infer an approximate 95 million equity investment upon the take - out of the westlb vehicle . we are currently in the process of syndicating the equity . we have one indicative proposal for 50 of the equity . we hope to have another next week . there are some specific timing issues that you need to be aware of . westlb did not want to take operating risk in the financing . our position with westlb is that we do not reach commercial operations until we reach the start date of the petrobras contract . we are currently producing energy into the grid . at some point westlb could try to force us to take out the entire vehicle prior to the opic funding . depending upon the timing this could represent a cash flow of up to 280 million for a short period of time . please let me know what other questions you have . brett from : john j lavorato / enron @ enronxgate on 10 / 26 / 2001 02 : 10 pm cdt to : brett r wiggs / sa / enron @ enron cc : subject : did we sell the power to the government what is our cash burn on the project right now and over the next month,Legit,False,Low,[],"[""Verify sender's identity"", ""Check Enron's official website for authenticity""]","Legitimate email from Enron employee, although contains urgent tone and complex financial details"
"SUBJECT: dynegydirect : new trade floor functionality EMAIL: effective monday january 7 2002 dynegydirect will institute a "" new look "" on our trade floors . the new look will have active and inactive markets designated with green and red lights to the right of the product line . upon opening your individual trade floor / window the window may not contain the usual number of products . you have two choices to make : choice 1 : a "" show all mkts "" button will be on the upper right of the screen . if you check this all the markets you have saved in your trading window s will appear just as they always have whether the markets are active or inactive . you will not see the green and red lights to the right of the product line . choice 2 : if you do not check the "" show all mkts "" button the window may be blank until dynegy begins posting prices and volumes and a "" refresh "" button appears on the top center of the window . clicking on the "" refresh "" button will enable active markets which will be indicated by a green light to the right of the product line . the light will remain green for 30 seconds after activation . the "" refresh "" button will reappear as additional markets become active or as an existing market becomes inactive . when dynegy places a product on hold inactive market the price and volume will disappear and a red light will appear to the right of the product line after 15 minutes of inactivity . clicking on the "" refresh "" button will add all active markets and / or remove all inactive markets . additional note : any new trading windows you create from monday forward will default to choice 2 . dynegydirecte - care dynegy inc . 1000 louisiana suite 5800 houston texas 77002 e - mail : e - care @ dynegydirect . com phone north america 877 . 396 . 3493 united kingdom 0800 . 169 . 6591 international 011 . 713 . 767 . 5000 fax north america 877 . 396 . 3492 united kingdom 0800 . 169 . 6615 international 011 . 713 . 767 . 4923",Legit,False,Low,"['Lack of personalization', 'Poor grammar and spelling']","[""Verify sender's identity through a phone call or email reply to the sender"", ""Check if the update is being sent by DynegyDirect's official channels""]","The email lacks a clear threat, and its content seems more like an informative update from a company."
"SUBJECT: Re: New PATCH use 5.006 use 5.10.0 EMAIL: On 05/10/2007 Robin Barker wrote: > > > > I have reimplemented the ""use 5.010 is ugly use 5.10.0 warns"" patch using Hv_string > > Implementation is confined to pp_ctl.c > Tests from previous patches in t/lib/warnings/pp_ctl > Documentation from old patch in pod/perldiag.pod pod/perlfunc.pod Nice thanks applied as 32031.",Legit,False,Low,"['Old patch reference', 'POD documentation reference']","[""Verify sender's identity"", 'Check for spelling errors']",Lack of personalization and outdated language suggests phishing attempt.
SUBJECT: pnr billing detail - september 2001 EMAIL: attached is an excel workbook that contains the details of the september pnr billing . if you have any questions please call me . below is a summary of the pnr charges : buyer p . o . poi bom bal dekatherm rate / dth invoice amount usgt 27268 500622 722 722 0 . 0400 1 264 . 69 calpine 27507 78151 0 39 000 0 . 3883 15 526 . 95 totals 39 722 16 791 . 64,Legit,False,Low,"['attached file', 'questions about billing']","[""Verify sender's identity"", 'Contact company directly']",Lack of personalization and suspicious attachment.
SUBJECT: Re: Python-3000 Types and classes EMAIL: 2008/4/8 Guido van Rossum : > Seems to be mass confusion all around. My proposal is: > > reprint > strint int > > For user-defined classes a module name will always be present e.g. > for class C defined in __main__: > > reprC > strc __main__.C 1 -- Facundo Blog: http://www.taniquetil.com.ar/plog/ PyAr: http://www.python.org/ar/ _______________________________________________ Python-3000 mailing list smsbmo-9552@python.org http://mail.python.org/mailman/listinfo/python-3000 Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-300040tangomu.com,Legit,False,Low,"['Facundo Blog', 'PyAr']","[""Verify sender's email address"", 'Check Python.org for legitimacy']","The email contains a suspiciously promotional link, but the content is related to a legitimate mailing list."
"SUBJECT: glot international EMAIL: call for squibs > from lisa cheng and rint sybesma editors of glot international next year glot international will start featuring a squib section . we invite everybody to send us squibs on any subject in any field of "" theoretical "" linguistics . since we appear monthly almost and our production time is relatively short we will be able to publish squibs very soon after their acceptance . the review procedure we have set up is also geared at losing as little time as possible . what squibs are what squibs do squibs inspire . they present ideas yet to be fleshed out but one at the time . they find connections between facts that nobody ever thought were related . they spell out the beginning of a new analysis not necessarily daring . they give you new facts from old languages and old facts in a new guise . they come up with beautiful observations that somehow seem theoretically relevant as well . they tell you about wonderful problems and possibly only hint at a solution . and they have the length of one page in glot international which is about 1500 words including the references . if you are interested in submitting a squib please send us three hard copies and one soft copy to the addresses below . however before sending us anything please consult the guidelines for authors on the our web site www . hagpub . com / glot . htm or send us an e-mail if you prefer to receive the guidelines by e-mail or regular mail . our addresses : e-mail : glot @ rullet . leidenuniv . nl regular mail : lisng and rint sybesma glot international department of general linguistics leiden university p . o . box 9515 2300 ra leiden the netherlands lisa cheng and rint sybesma editors glot international hil / department of general linguistics leiden university po box 9515 2300 ra leiden the netherlands fax : 31-70 - 448-0177 http : / / www . hagpub . com / glot . htm",Legit,False,Low,"['call for squibs', 'submitting a squib']","['Consult the guidelines on their website before submitting your work.', 'Check if the email address is legitimate and not spoofed.']","The email appears to be a genuine call for submissions from an academic journal, but it contains some red flags such as the request for hard copies and the unusual email address."
